Retired point with ll = -1.0228977763893014e7; accept = 0.16153846153846155; next nmcmc = 130
Retired point with ll = -1.0064574986369053e7; accept = 0.14615384615384616; next nmcmc = 130
Retired point with ll = -9.920330368792422e6; accept = 0.07692307692307693; next nmcmc = 130
Retired point with ll = -9.83400421462853e6; accept = 0.13076923076923078; next nmcmc = 130
Retired point with ll = -9.774100098262342e6; accept = 0.13846153846153847; next nmcmc = 130
Retired point with ll = -9.470372056838017e6; accept = 0.2153846153846154; next nmcmc = 130
Retired point with ll = -9.405368584240902e6; accept = 0.13846153846153847; next nmcmc = 130
Retired point with ll = -9.377761084386064e6; accept = 0.2692307692307692; next nmcmc = 130
Retired point with ll = -9.157965095501898e6; accept = 0.2; next nmcmc = 130
Retired point with ll = -9.15450997560246e6; accept = 0.16153846153846155; next nmcmc = 130
Retired point with ll = -9.057822706939304e6; accept = 0.07692307692307693; next nmcmc = 130
Retired point with ll = -9.014523263307583e6; accept = 0.16923076923076924; next nmcmc = 130
Retired point with ll = -8.7707376864736e6; accept = 0.15384615384615385; next nmcmc = 130
Retired point with ll = -8.671654497013435e6; accept = 0.07692307692307693; next nmcmc = 130
Retired point with ll = -8.648630613825487e6; accept = 0.09230769230769231; next nmcmc = 130
Retired point with ll = -8.498983067690061e6; accept = 0.14615384615384616; next nmcmc = 130
Retired point with ll = -8.3822755601455e6; accept = 0.13076923076923078; next nmcmc = 130
Retired point with ll = -8.213781143652623e6; accept = 0.15384615384615385; next nmcmc = 130
Retired point with ll = -8.156679707019481e6; accept = 0.13846153846153847; next nmcmc = 130
Retired point with ll = -8.151771941168351e6; accept = 0.13846153846153847; next nmcmc = 130
Retired point with ll = -8.037699819138774e6; accept = 0.08461538461538462; next nmcmc = 130
Retired point with ll = -7.840215338254315e6; accept = 0.19230769230769232; next nmcmc = 130
Retired point with ll = -7.707126072474253e6; accept = 0.13076923076923078; next nmcmc = 130
Retired point with ll = -7.645184488766791e6; accept = 0.06153846153846154; next nmcmc = 130
Retired point with ll = -7.596370423907171e6; accept = 0.09230769230769231; next nmcmc = 131
Retired point with ll = -7.2950377632819135e6; accept = 0.05343511450381679; next nmcmc = 131
Retired point with ll = -7.2489499891982e6; accept = 0.022900763358778626; next nmcmc = 132
Retired point with ll = -7.120825718081131e6; accept = 0.24242424242424243; next nmcmc = 131
Retired point with ll = -7.085262961339953e6; accept = 0.1297709923664122; next nmcmc = 131
Retired point with ll = -6.85264978384286e6; accept = 0.1297709923664122; next nmcmc = 131
Retired point with ll = -6.764479318050974e6; accept = 0.1450381679389313; next nmcmc = 131
Retired point with ll = -6.667095265343431e6; accept = 0.07633587786259542; next nmcmc = 132
Retired point with ll = -6.32327025670485e6; accept = 0.24242424242424243; next nmcmc = 132
Retired point with ll = -6.309428350152697e6; accept = 0.21212121212121213; next nmcmc = 131
Retired point with ll = -6.277383145465418e6; accept = 0.1450381679389313; next nmcmc = 131
Retired point with ll = -6.255717346307158e6; accept = 0.15267175572519084; next nmcmc = 131
Retired point with ll = -6.2094172853648765e6; accept = 0.17557251908396945; next nmcmc = 131
